Feature,Mean,Standard Deviation
pic,0.43,0.49
user #:len,0.29,0.24
full words,1.15,0.69
full #:len,0.08,0.19
full=user,0.07,0.25
desc len,4.94,19.64
URL,0.0,0.0
private,0.3,0.46
posts,8.57,26.3
followers,142.62,384.27
follows,397.3,944.16
